,Name,Company,Location,Salary,Experience,Type,Field,Posted,Updated,Skill Required,Link
40,Data Analyst,Schneider Electric Vietnam,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,3 months ago,7 days ago,"Data Science, Database Administration, Data Analysis",https://glints.com/vn/opportunities/jobs/data-analyst/41369de5-9198-4df8-acaf-3fd76709d19a
41,Data Analyst,Gene Solutions,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,3 months ago,20 days ago,"Data Entry, Data Science, Database Administration, Statistical Data Analysis, Data Analysis",https://glints.com/vn/opportunities/jobs/data-analyst/f0ec9f3c-d371-46b3-8fce-a86652452a02
42,DATA ENGINEER,Gene Solutions,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,3 months ago,14 days ago,"Data Entry, Data Science, Database Administration, Statistical Data Analysis, Data Analysis",https://glints.com/vn/opportunities/jobs/data-engineer/e071500e-8847-4ce4-a2de-c7c3603149a6
43,Data Engineer,DIGI-TEXX,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,3 months ago,1 month ago,"Database Administration, Big Data Analysis, Data Analysis",https://glints.com/vn/opportunities/jobs/data-engineer/b6559ac6-6d31-4f67-a79c-13c31827da74
44,Data Specialist,Store,"Quận 1, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Product Management,2 months ago,2 months ago,"SPSS, Data Model, Problem Solving, Microsoft Excel, Strong Analytical Skills, analyze and interpret data, Database Design, Statistical Data Analysis, Data Analysis, E-commerce Knowledge, English Proficiency",https://glints.com/vn/opportunities/jobs/data-specialist/79e62faf-d3da-41a3-a29d-a5eff30c7938
45,Data Engineer,Công Ty Cổ Phần Giải Pháp Phần Mềm Tài Chính (FSS),"Ho Chi Minh City, Vietnam",,,Việc làm fulltime,Other,1 month ago,1 month ago,"Teamwork, Csdl, Ham Học Hỏi",https://glints.com/vn/opportunities/jobs/data-engineer/bd178aa1-f372-4f49-a014-e28d783f3857
46,Data Engineer,Công Ty Cổ Phần Giải Pháp Phần Mềm Tài Chính (FSS),"Hà Nội, Vietnam",,,Việc làm fulltime,Other,1 month ago,1 month ago,"Teamwork, Csdl, Ham Học Hỏi",https://glints.com/vn/opportunities/jobs/data-engineer/0ba2818b-f219-4faf-8cf9-7cdaa7541243
47,Data Analyst,F88,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Data Science,3 months ago,1 month ago,"Data Entry, Data Science, Database Administration, Statistical Data Analysis, Data Analysis",https://glints.com/vn/opportunities/jobs/data-analyst/1d56ef90-efbc-4d87-a6c0-118c2f93165a
48,Data Analyst,One Mount,"Hà Nội, Vietnam",,,Việc làm fulltime,Data Science,2 months ago,yesterday,"Specifications, Good Communication Skills, Data Analysis",https://glints.com/vn/opportunities/jobs/data-analyst/93643019-0afa-4ea3-8c41-5370d36c122b
49,Data Scientist,Smartpay,"Ho Chi Minh City, Vietnam",,,Việc làm fulltime,Data Science,6 months ago,yesterday,"Data Science, Machine Learning, Statistics",https://glints.com/vn/opportunities/jobs/data-scientist/44ad8871-1c65-4def-b060-7e07fcaccee9
50,Data Entry Officer,Kiu Vietnam,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Other,19 days ago,19 days ago,"Data Entry, English Language, Microsoft Excel, Typing, Microsoft Word",https://glints.com/vn/opportunities/jobs/data-entry-officer/e305d174-2ef9-4f9e-aa81-e0614f79a4de
51,DATA ANALYST SPECIALIST,Ghn Express,"Quận 10, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,22 days ago,14 days ago,"MySQL, SQL, Database, Data Analysis, Bigquery",https://glints.com/vn/opportunities/jobs/data-analyst-specialist/9d27c6d8-13d5-433a-8eb0-65331c62ea90
52,Junior Data Engineer ,Công Ty Tnhh Vina Group,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,1 month ago,1 month ago,"Nosql, Java Script, SQL",https://glints.com/vn/opportunities/jobs/junior-data-engineer/cb002f54-6868-4cbe-b8a5-1af8bff4b143
