,Name,Company,Location,Salary,Experience,Type,Field,Posted,Updated,Skill Required,Link
38,Brand Marketing Staff,Fado.vn,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Marketing,2 months ago,22 days ago,"Brand Management, Branding and Identity, Brand Marketing",https://glints.com/vn/opportunities/jobs/brand-marketing-staff/4fa343ab-15be-41a1-9898-d3cfd3adcc68
39,Client Solutions Manager - Performance,Tiktok,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Marketing,5 months ago,5 months ago,"Social Media Marketing, Digital Marketing, Analytical Skills, Marketing Campaign, Strategic Planning, Performance Management",https://glints.com/vn/opportunities/jobs/client-solutions-manager-performance/ea78be60-44a0-41ae-b7e4-d0c6906920da
40,Tư vấn khóa học,Công Ty Tnhh Giáo Dục Và Thương Mại Riki Việt Nam  ,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,4 months ago,4 months ago,"Giao Tiếp Tốt, Tư Vấn Thuyết Phục, Chủ Động Và Ham Học Hỏi, Kỹ Năng Xử Lý Tình Huống",https://glints.com/vn/opportunities/jobs/tu-van-khoa-hoc/e91d7267-4984-4f1c-9fbb-7ab4f91a646a
41,AGENCY INECSO TUYỂN PROMOTION OFFICER,INECSO JSC,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Marketing,3 days ago,3 days ago,"Promotion, Marketing Communications, Marketing, Gsuites, Canva Design",https://glints.com/vn/opportunities/jobs/agency-inecso-tuyen-promotion-officer/b4eefc26-e16d-45ff-9459-6ad66b410084
42,Flutter Developer,"Aina Co.,ltd","Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,3 months ago,4 days ago,"Flutter, GraphQL, OOP",https://glints.com/vn/opportunities/jobs/flutter-developer/5a2a7f68-7f82-45c6-9e11-e8112fb8c46c
43,Digital Marketing Senior Specialist,Prudential Vietnam Assurance Private Ltd,"Quận 1, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Marketing,1 month ago,1 month ago,"Vendor Management, Digital Marketing, SEO, Content Management",https://glints.com/vn/opportunities/jobs/digital-marketing-senior-specialist/291e4ef5-1dbd-482c-9d02-4b680821377f
44,Nhân viên Chăm sóc khách hàng ,Công Ty Gia Sư Eteacher,"Quận 1, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,1 month ago,5 days ago,"Education, Analytical Skills, Communication Skills",https://glints.com/vn/opportunities/jobs/nhan-vien-cham-soc-khach-hang/d4a1367e-d30c-46b7-a500-2a8065db2789
45,Senior Professional Financial Advisor,Chubb Life - Vietnam,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,20 days ago,11 hours ago,"Giao Tiếp Tốt, Chăm Sóc Khách Hàng, Tư Vấn",https://glints.com/vn/opportunities/jobs/senior-professional-financial-advisor/91f594d3-8402-4b3f-b308-9cc01a3047bd
46,Sales Executive,Công Ty CP Giải Pháp Kinh Doanh Nền Tảng - Basebs,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,5 months ago,5 months ago,"English Communication, Yêu Thích Kinh Doanh, Làm việc độc lập và nhóm",https://glints.com/vn/opportunities/jobs/sales-executive/37ea7868-be76-431e-9202-a9a71b971834
47,"Regional Product Lead, Marketplace (Remote Possible)",Glints Vietnam,"Hà Nội, Vietnam",,,Việc làm fulltime,Other,15 days ago,15 hours ago,,https://glints.com/vn/opportunities/jobs/regional-product-lead-marketplace-remote-possible/3baf44cb-6966-4218-8b8e-531c7345e111
48,"Regional Product Lead, Marketplace (Remote Possible)",Glints Vietnam,"Ho Chi Minh City, Vietnam",,,Việc làm fulltime,Other,15 days ago,15 hours ago,,https://glints.com/vn/opportunities/jobs/regional-product-lead-marketplace-remote-possible/8835504f-d351-4787-9f35-505bf43352e5
49,SALES ENGINEER,INSEE,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,5 months ago,3 months ago,"Clients Management, Corporate Communications, Organizational Leadership",https://glints.com/vn/opportunities/jobs/sales-engineer/9c52d7fb-84ea-40fe-9891-d8a5ff874769
50,Customer Support Engineer,Manabie Vietnam,"Quận 4, Ho Chi Minh City, Vietnam",,,Việc làm fulltime,Software Engineering,6 months ago,16 days ago,"JIRA, OpsGenie, Communication Skills, Organization Skills, FAQs, Data Analysis",https://glints.com/vn/opportunities/jobs/customer-support-engineer/d44de077-e98b-456b-8ee2-42a32a2a8dec
